route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,train_id
RED,54_R,6576278_20078,"GLENMONT",0,,RRED_1,6576278,120
RED,54_R,6576297_20078,"GLENMONT",0,,RRED_1,6576297,121
RED,54_R,6576284_20078,"GLENMONT",0,,RRED_1,6576284,122
RED,54_R,6576293_20078,"GLENMONT",0,,RRED_1,6576293,123
RED,54_R,6576294_20078,"GLENMONT",0,,RRED_1,6576294,124
RED,54_R,6576276_20078,"GLENMONT",0,,RRED_1,6576276,125
RED,54_R,6576279_20078,"GLENMONT",0,,RRED_1,6576279,126
RED,54_R,6576288_20078,"GLENMONT",0,,RRED_1,6576288,127
RED,54_R,6576292_20078,"GLENMONT",0,,RRED_1,6576292,101
RED,54_R,6576285_20078,"GLENMONT",0,,RRED_1,6576285,102
RED,54_R,6576281_20078,"GLENMONT",0,,RRED_1,6576281,103
RED,54_R,6576298_20078,"GLENMONT",0,,RRED_1,6576298,104
RED,54_R,6576320_20078,"GLENMONT",0,,RRED_1,6576320,105
RED,54_R,6576326_20078,"GLENMONT",0,,RRED_1,6576326,106
RED,54_R,6576338_20078,"GLENMONT",0,,RRED_1,6576338,107
RED,54_R,6576339_20078,"GLENMONT",0,,RRED_1,6576339,108
RED,54_R,6576330_20078,"GLENMONT",0,,RRED_1,6576330,109
RED,54_R,6576319_20078,"GLENMONT",0,,RRED_1,6576319,110
RED,54_R,6576316_20078,"GLENMONT",0,,RRED_1,6576316,111
RED,54_R,6576301_20078,"GLENMONT",0,,RRED_1,6576301,113
RED,54_R,6576327_20078,"GLENMONT",0,,RRED_1,6576327,114
RED,54_R,6576335_20078,"GLENMONT",0,,RRED_1,6576335,115
RED,54_R,6576318_20078,"GLENMONT",0,,RRED_1,6576318,116
RED,54_R,6576309_20078,"GLENMONT",0,,RRED_1,6576309,117
RED,54_R,6576328_20078,"GLENMONT",0,,RRED_1,6576328,118
RED,54_R,6576312_20078,"GLENMONT",0,,RRED_1,6576312,119
RED,54_R,6576307_20078,"GLENMONT",0,,RRED_1,6576307,120
RED,54_R,6576315_20078,"GLENMONT",0,,RRED_1,6576315,121
RED,54_R,6576317_20078,"GLENMONT",0,,RRED_1,6576317,122
RED,54_R,6576369_20078,"GLENMONT",0,,RRED_1,6576369,123
RED,54_R,6576348_20078,"GLENMONT",0,,RRED_1,6576348,124
RED,54_R,6576343_20078,"GLENMONT",0,,RRED_1,6576343,125
RED,54_R,6576378_20078,"GLENMONT",0,,RRED_1,6576378,126
RED,54_R,6576390_20078,"GLENMONT",0,,RRED_1,6576390,127
RED,54_R,6576396_20078,"GLENMONT",0,,RRED_1,6576396,101
RED,54_R,6576362_20078,"GLENMONT",0,,RRED_1,6576362,102
RED,54_R,6576388_20078,"GLENMONT",0,,RRED_1,6576388,103
RED,54_R,6576377_20078,"GLENMONT",0,,RRED_1,6576377,104
RED,54_R,6576352_20078,"GLENMONT",0,,RRED_1,6576352,105
RED,54_R,6576357_20078,"GLENMONT",0,,RRED_1,6576357,106
RED,54_R,6576391_20078,"GLENMONT",0,,RRED_1,6576391,107
RED,54_R,6576397_20078,"GLENMONT",0,,RRED_1,6576397,108
RED,54_R,6576379_20078,"GLENMONT",0,,RRED_1,6576379,109
RED,54_R,6576341_20078,"GLENMONT",0,,RRED_1,6576341,110
RED,54_R,6576387_20078,"GLENMONT",0,,RRED_1,6576387,111
RED,54_R,6576342_20078,"GLENMONT",0,,RRED_1,6576342,113
RED,54_R,6576395_20078,"GLENMONT",0,,RRED_1,6576395,114
RED,54_R,6576358_20078,"GLENMONT",0,,RRED_1,6576358,115
RED,54_R,6576354_20078,"GLENMONT",0,,RRED_1,6576354,116
RED,54_R,6576370_20078,"GLENMONT",0,,RRED_1,6576370,117
RED,54_R,6576376_20078,"GLENMONT",0,,RRED_1,6576376,118
RED,54_R,6576366_20078,"GLENMONT",0,,RRED_1,6576366,119
RED,54_R,6576345_20078,"GLENMONT",0,,RRED_1,6576345,120
RED,54_R,6576408_20078,"GLENMONT",0,,RRED_1,6576408,121
RED,54_R,6576097_20078,"GLENMONT",0,,RRED_1,6576097,122
RED,54_R,6576107_20078,"GLENMONT",0,,RRED_1,6576107,123
RED,54_R,6576353_20078,"GLENMONT",0,,RRED_1,6576353,124
RED,54_R,6576406_20078,"GLENMONT",0,,RRED_1,6576406,125
RED,54_R,6576132_20078,"GLENMONT",0,,RRED_1,6576132,126
RED,54_R,6576168_20078,"GLENMONT",0,,RRED_1,6576168,127
RED,54_R,6576407_20078,"GLENMONT",0,,RRED_1,6576407,101
RED,54_R,6576403_20078,"GLENMONT",0,,RRED_1,6576403,102
RED,54_R,6576096_20078,"GLENMONT",0,,RRED_1,6576096,103
RED,54_R,6576172_20078,"GLENMONT",0,,RRED_1,6576172,104
RED,54_R,6576402_20078,"GLENMONT",0,,RRED_1,6576402,105
RED,54_R,6576092_20078,"GLENMONT",0,,RRED_1,6576092,106
RED,54_R,6576110_20078,"GLENMONT",0,,RRED_1,6576110,107
RED,54_R,6576300_20078,"GLENMONT",0,,RRED_1,6576300,108
RED,54_R,6576313_20078,"GLENMONT",0,,RRED_1,6576313,109
RED,54_R,6576106_20078,"GLENMONT",0,,RRED_1,6576106,110
RED,54_R,6576111_20078,"GLENMONT",0,,RRED_1,6576111,111
RED,54_R,6576104_20078,"GLENMONT",0,,RRED_1,6576104,113
RED,54_R,6576334_20078,"GLENMONT",0,,RRED_1,6576334,114
RED,54_R,6576121_20078,"GLENMONT",0,,RRED_1,6576121,116
RED,54_R,6576117_20078,"GLENMONT",0,,RRED_1,6576117,117
RED,54_R,6576374_20078,"GLENMONT",0,,RRED_1,6576374,119
RED,54_R,6576438_20078,"GLENMONT",0,,RRED_1,6576438,121
RED,54_R,6576439_20078,"GLENMONT",0,,RRED_1,6576439,122
RED,54_R,6576440_20078,"GLENMONT",0,,RRED_1,6576440,124
RED,54_R,6576441_20078,"GLENMONT",0,,RRED_1,6576441,125
RED,54_R,6576442_20078,"GLENMONT",0,,RRED_1,6576442,127
RED,54_R,6576443_20078,"GLENMONT",0,,RRED_1,6576443,101
RED,54_R,6576115_20078,"GLENMONT",0,,RRED_1,6576115,103
RED,54_R,6576349_20078,"GLENMONT",0,,RRED_1,6576349,104
RED,54_R,6576141_20078,"GLENMONT",0,,RRED_1,6576141,106
RED,54_R,6576083_20078,"GLENMONT",0,,RRED_1,6576083,108
RED,54_R,6576072_20078,"GLENMONT",0,,RRED_1,6576072,109
RED,54_R,6576076_20078,"GLENMONT",0,,RRED_1,6576076,111
RED,54_R,6576078_20078,"GLENMONT",0,,RRED_1,6576078,113
RED,54_R,6576091_20078,"GLENMONT",0,,RRED_1,6576091,114
RED,73_R,6576114_20081,"GLENMONT",0,,RRED_2,6576114,124
RED,73_R,6576099_20081,"GLENMONT",0,,RRED_2,6576099,125
RED,73_R,6576127_20081,"GLENMONT",0,,RRED_2,6576127,126
RED,73_R,6576138_20081,"GLENMONT",0,,RRED_2,6576138,127
RED,73_R,6576123_20081,"GLENMONT",0,,RRED_2,6576123,101
RED,73_R,6576124_20081,"GLENMONT",0,,RRED_2,6576124,102
RED,73_R,6576151_20081,"GLENMONT",0,,RRED_2,6576151,103
RED,73_R,6576136_20081,"GLENMONT",0,,RRED_2,6576136,104
RED,73_R,6576118_20081,"GLENMONT",0,,RRED_2,6576118,105
RED,73_R,6576146_20081,"GLENMONT",0,,RRED_2,6576146,106
RED,73_R,6576145_20081,"GLENMONT",0,,RRED_2,6576145,107
RED,73_R,6576140_20081,"GLENMONT",0,,RRED_2,6576140,108
RED,73_R,6576130_20081,"GLENMONT",0,,RRED_2,6576130,109
RED,73_R,6576126_20081,"GLENMONT",0,,RRED_2,6576126,110
RED,73_R,6576119_20081,"GLENMONT",0,,RRED_2,6576119,111
RED,73_R,6576135_20081,"GLENMONT",0,,RRED_2,6576135,113
RED,73_R,6576148_20081,"GLENMONT",0,,RRED_2,6576148,114
RED,73_R,6576158_20081,"GLENMONT",0,,RRED_2,6576158,115
RED,73_R,6576186_20081,"GLENMONT",0,,RRED_2,6576186,116
RED,73_R,6576161_20081,"GLENMONT",0,,RRED_2,6576161,117
RED,73_R,6576175_20081,"GLENMONT",0,,RRED_2,6576175,118
RED,73_R,6576179_20081,"GLENMONT",0,,RRED_2,6576179,119
RED,73_R,6576165_20081,"GLENMONT",0,,RRED_2,6576165,120
RED,73_R,6576162_20081,"GLENMONT",0,,RRED_2,6576162,121
RED,73_R,6576183_20081,"GLENMONT",0,,RRED_2,6576183,122
RED,73_R,6576191_20081,"GLENMONT",0,,RRED_2,6576191,123
RED,73_R,6576189_20081,"GLENMONT",0,,RRED_2,6576189,124
RED,73_R,6576150_20081,"GLENMONT",0,,RRED_2,6576150,125
RED,73_R,6576182_20081,"GLENMONT",0,,RRED_2,6576182,126
RED,73_R,6576185_20081,"GLENMONT",0,,RRED_2,6576185,127
RED,73_R,6576157_20081,"GLENMONT",0,,RRED_2,6576157,101
RED,73_R,6576166_20081,"GLENMONT",0,,RRED_2,6576166,102
RED,73_R,6576184_20081,"GLENMONT",0,,RRED_2,6576184,103
RED,73_R,6576163_20081,"GLENMONT",0,,RRED_2,6576163,104
RED,73_R,6576194_20081,"GLENMONT",0,,RRED_2,6576194,105
RED,73_R,6576208_20081,"GLENMONT",0,,RRED_2,6576208,106
RED,73_R,6576202_20081,"GLENMONT",0,,RRED_2,6576202,107
RED,73_R,6576201_20081,"GLENMONT",0,,RRED_2,6576201,108
RED,73_R,6576206_20081,"GLENMONT",0,,RRED_2,6576206,109
RED,73_R,6576207_20081,"GLENMONT",0,,RRED_2,6576207,110
RED,73_R,6576203_20081,"GLENMONT",0,,RRED_2,6576203,111
RED,73_R,6576193_20081,"GLENMONT",0,,RRED_2,6576193,113
RED,73_R,6576228_20081,"GLENMONT",0,,RRED_2,6576228,114
RED,73_R,6576226_20081,"GLENMONT",0,,RRED_2,6576226,115
RED,73_R,6576238_20081,"GLENMONT",0,,RRED_2,6576238,116
RED,73_R,6576216_20081,"GLENMONT",0,,RRED_2,6576216,117
RED,73_R,6576245_20081,"GLENMONT",0,,RRED_2,6576245,118
RED,73_R,6576215_20081,"GLENMONT",0,,RRED_2,6576215,119
